aduna-commons-webapp-core,2.4,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-webapp-core&v=2.4&e=pom, ,
aduna-commons-webapp,2.8.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-webapp&v=2.8.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/webapp/tags/2.8.0;http://repo.aduna-software.org/websvn/listing.php?repname=aduna&path=/info.aduna/commons/webapp/branches/2.8?repname=aduna&path=/info.aduna/commons/webapp/tags/2.8.0?repname=aduna&path=/info.aduna/commons/webapp/branches/2.8?repname=aduna&path=/info.aduna/commons/webapp/trunk/],
aduna-commons-webapp,2.4,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-webapp&v=2.4&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/webapp/tags/2.4;http://repo.aduna-software.org/viewvc/info.aduna/commons/webapp/tags/2.4],
aduna-commons-text,2.7.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-text&v=2.7.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/text/tags/2.7.0;http://repo.aduna-software.org/websvn/listing.php?repname=aduna&path=/info.aduna/commons/text/tags/2.7.0?repname=aduna&path=/info.aduna/commons/text/trunk/],
aduna-commons-text,2.6.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-text&v=2.6.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/text/tags/2.6.0;http://repo.aduna-software.org/websvn/listing.php?repname=aduna&path=/info.aduna/commons/text/branches/2.6?repname=aduna&path=/info.aduna/commons/text/tags/2.6.0?repname=aduna&path=/info.aduna/commons/text/branches/2.6?repname=aduna&path=/info.aduna/commons/text/trunk/],
aduna-commons-text,2.5.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-text&v=2.5.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/text/tags/2.5.0;http://repo.aduna-software.org/viewvc/info.aduna/commons/text/tags/2.5.0],
aduna-commons-text,2.4.0,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-text&v=2.4.0&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/text/tags/2.4.0;http://repo.aduna-software.org/viewvc/info.aduna/commons/text/tags/2.4.0],
aduna-commons-text,2.2,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-text&v=2.2&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/text/tags/2.2;http://repo.aduna-software.org/viewvc/info.aduna/commons/text/tags/2.2],
aduna-commons-platform-info,2.2,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-platform-info&v=2.2&e=pom, ,
aduna-commons-platform,2.2,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-platform&v=2.2&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/platform/tags/2.2;http://repo.aduna-software.org/viewvc/info.aduna/commons/platform/tags/2.2],
aduna-commons-net-http-server-embedded,2.1,info.aduna.commons,aduna,https://repository.sonatype.org/service/local/artifact/maven/redirect?r=aduna&g=info.aduna.commons&a=aduna-commons-net-http-server-embedded&v=2.1&e=pom,SCM[scm:svn:http://repo.aduna-software.org/svn/info.aduna/commons/net-http-server-embedded/tags/2.1;http://repo.aduna-software.org/viewvc/info.aduna/commons/net-http-server-embedded/tags/2.1],
